# rank frequency word
480 46 making
481 46 running
482 46 says
483 46 sleep
484 46 straight
485 46 sure
486 46 touching
487 46 whaleman
488 46 whatever
489 45 anything
490 45 blue
491 45 caught
492 45 door
493 45 especially
494 45 lance
495 45 mine
496 45 sails
497 45 sat
498 45 whom
499 44 bow
500 44 five
501 44 hole
502 44 house
503 44 nigh
504 44 noble
505 44 o
506 44 queer
507 44 somehow
508 43 knew
509 43 parts
510 43 rolled
511 43 seamen
512 43 sudden
513 42 alone
514 42 coast
515 42 concerning
516 42 course
517 42 creature
518 42 de
519 42 em
520 42 hours
521 42 mere
522 42 nature
523 42 passed
524 42 pipe
525 42 purpose
526 42 ready
527 42 sharp
528 42 surface
529 42 wondrous
530 41 art
531 41 brow
532 41 calm
533 41 clear
534 41 either
535 41 felt
536 41 hat
537 41 help
538 41 quite
539 41 sound
540 40 cape
541 40 easy
542 40 gold
543 40 hour
544 40 makes
545 40 mates
546 40 mean
547 40 mortal
548 40 others
549 40 plain
550 40 quick
551 40 red
552 40 saying
553 40 steelkilt
554 40 wake
555 39 cry
556 39 distance
557 39 forecastle
558 39 low
559 39 mass
560 39 oars
561 39 object
562 39 plainly
563 39 single
564 38 around
565 38 brought
566 38 bulwarks
567 38 cutting
568 38 darted
569 38 fixed
570 38 forehead
571 38 gave
572 38 gentlemen
573 38 ha
574 38 leaving
575 38 middle
576 38 power
577 38 sailed
578 38 table
579 38 various
580 37 arms
581 37 aspect
582 37 bear
583 37 brain
584 37 chief
585 37 daggoo
586 37 famous
587 37 flukes
588 37 free
589 37 given
590 37 heavy
591 37 held
592 37 holding
593 37 human
594 37 lines
595 37 loose
596 37 mad
597 37 manner
598 37 placed
599 37 seeing
600 37 shot
601 37 skin
602 37 start
603 37 suppose
604 37 ve
605 37 wood
606 36 ago
607 36 born
608 36 fell
609 36 greenland
610 36 legs
611 36 natural
612 36 nearly
613 36 previous
614 36 rose
615 36 sign
616 36 sky
617 36 strong
618 36 town
619 36 truth
620 36 unknown
621 36 wonder
622 35 boys
623 35 except
624 35 helm
625 35 hope
626 35 killed
627 35 pacific
628 35 rolling
629 35 skeleton
630 35 spring
631 35 turns
632 35 weather
633 34 account
634 34 american
635 34 ashore
636 34 blubber
637 34 creatures
638 34 fair
639 34 fin
640 34 forty
641 34 kill
642 34 landlord
643 34 none
644 34 passage
645 34 remained
646 34 rigging
647 34 sailing
648 34 state
649 34 terms
650 34 third
651 34 thoughts
652 34 twenty
653 33 already
654 33 company
655 33 completely
656 33 didn
657 33 drawing
658 33 fear
659 33 fifty
660 33 foot
661 33 hammock
662 33 hardly
663 33 ho
664 33 idea
665 33 island
666 33 steel
667 33 stop
668 33 want
669 32 aft
670 32 bulk
671 32 darkness
672 32 doubt
673 32 during
674 32 fresh
675 32 harpoons
676 32 hence
677 32 hull
678 32 intervals
679 32 jet
680 32 miles
681 32 nose
682 32 person
683 32 proper
684 32 show
685 32 storm
686 32 strike
687 32 thunder
688 32 unless
689 32 visible
690 32 won
691 31 across
692 31 battle
693 31 bound
694 31 cast
695 31 cold
696 31 considering
697 31 generally
698 31 instances
699 31 knife
700 31 pass
701 31 planks
702 31 received
703 31 rising
704 31 shark
705 31 six
706 31 snow
707 31 soft
708 31 species
709 31 substance
710 31 supper
711 31 tossed
712 31 upper
713 31 woe
714 30 act
715 30 carried
716 30 die
717 30 flying
718 30 hammer
719 30 hoisted
720 30 horn
721 30 huge
722 30 hung
723 30 jaws
724 30 lamp
725 30 late
726 30 midnight
727 30 possible
728 30 possibly
729 30 read
730 30 really
731 30 smoke
732 30 suspended
733 30 swimming
734 30 touch
735 30 vain
736 29 altogether
737 29 aside
738 29 astern
739 29 certainly
740 29 country
741 29 entirely
742 29 final
743 29 hast
744 29 hearts
745 29 leeward
746 29 m
747 29 mariners
748 29 nay
749 29 play
750 29 pointed
751 29 pole
752 29 pretty
753 29 question
754 29 royal
755 29 sideways
756 29 south
757 29 stands
758 29 steady
759 29 strangely
760 29 words
761 28 ancient
762 28 become
763 28 bit
764 28 coat
765 28 command
766 28 considerable
767 28 fedallah
768 28 feeling
769 28 fishermen
770 28 following
771 28 foundation
772 28 gale
773 28 giving
774 28 glance
775 28 gods
776 28 hunters
777 28 kind
778 28 knows
779 28 law
780 28 leaning
781 28 lightning
782 28 meanwhile
783 28 mild
784 28 number
785 28 oar
786 28 parsee
787 28 pilot
788 28 scene
789 28 shipmates
790 28 sides
791 28 thinking
792 28 whiteness
793 27 ahead
794 27 alive
795 27 alongside
796 27 believe
797 27 cruising
798 27 dropped
799 27 eight
800 27 electronic
